slNo,cust_id,cust_score,days_in_cart,purchase_hist,gender,rating,purchase
0,1500,26,26,1,male,4,0
1,1501,92,55,0,male,4,1
2,1502,24,16,0,female,4,0
3,1503,98,27,1,female,3,1
4,1504,12,21,0,male,1,0
5,1505,86,20,1,male,3,1
6,1506,54,58,1,male,2,0
7,1507,37,25,1,male,0,1
8,1508,98,49,1,male,3,1
9,1509,3,9,1,male,1,0
10,1510,95,57,1,male,4,1
11,1511,24,40,0,female,2,1
12,1512,35,57,0,male,0,0
13,1513,45,3,1,male,4,1
14,1514,59,3,1,male,1,1
15,1515,85,26,0,male,0,1
16,1516,60,36,0,male,1,0
17,1517,12,42,0,male,0,0
18,1518,40,45,1,female,5,0
19,1519,57,36,1,female,5,0
20,1520,6,9,1,male,1,0
21,1521,60,7,0,male,5,0
22,1522,77,5,0,female,3,0
23,1523,41,7,1,female,1,1
24,1524,17,57,1,female,1,0
25,1525,73,40,1,male,5,1
26,1526,28,35,0,female,1,0
27,1527,100,40,0,female,0,1
28,1528,97,36,1,male,1,1
29,1529,41,26,1,female,1,1
30,1530,94,46,0,male,0,1
31,1531,85,46,0,female,0,1
32,1532,64,14,0,male,4,1
33,1533,42,48,1,male,4,1
34,1534,59,45,0,female,3,0
35,1535,37,22,0,female,0,1
36,1536,91,59,1,male,0,1
37,1537,2,4,0,female,3,1
38,1538,78,12,0,male,0,1
39,1539,18,32,0,female,3,0
40,1540,42,31,1,female,5,0
41,1541,55,34,0,female,4,0
42,1542,2,12,0,female,1,0
43,1543,30,27,1,female,2,1
44,1544,48,48,1,male,1,0
45,1545,66,26,0,male,0,0
46,1546,48,2,0,male,3,0
47,1547,36,49,1,male,3,0
48,1548,96,51,0,female,5,1
49,1549,75,24,1,male,4,0
50,1550,13,48,0,male,3,1
51,1551,76,51,1,male,3,1
52,1552,93,47,1,male,3,1
53,1553,98,20,1,female,0,1
54,1554,37,53,1,female,5,1
55,1555,45,38,0,male,2,1
56,1556,41,57,0,female,3,1
57,1557,91,3,0,male,3,1
58,1558,7,34,1,male,2,0
59,1559,60,17,0,male,0,0
60,1560,75,14,1,female,5,1
61,1561,13,46,1,female,0,0
62,1562,67,17,1,male,1,1
63,1563,79,38,0,female,1,1
64,1564,12,60,1,female,3,1
65,1565,18,1,0,male,4,1
66,1566,24,2,1,female,1,0
67,1567,42,38,0,female,2,0
68,1568,95,59,0,female,0,1
69,1569,42,46,1,female,5,0
70,1570,2,30,1,male,5,1
71,1571,53,43,1,female,1,0
72,1572,65,7,0,female,0,1
73,1573,79,38,1,female,2,0
74,1574,21,1,1,male,0,0
75,1575,77,9,0,male,2,1
76,1576,63,25,1,female,5,1
77,1577,16,11,0,female,2,0
78,1578,76,44,1,male,0,0
79,1579,97,45,0,female,1,1
80,1580,10,12,1,male,2,0
81,1581,15,38,0,male,1,0
82,1582,56,53,0,male,2,1
83,1583,77,10,0,male,3,1
84,1584,90,14,1,male,5,1
85,1585,84,52,0,female,0,1
86,1586,90,20,0,female,3,1
87,1587,47,60,0,male,3,1
88,1588,37,38,0,male,0,1
89,1589,31,10,0,female,1,1
90,1590,80,1,0,female,5,1
91,1591,74,45,0,female,0,0
92,1592,69,28,0,female,0,0
93,1593,22,24,1,female,3,0
94,1594,62,33,1,male,1,1
95,1595,30,18,0,male,4,0
96,1596,24,14,1,female,2,1
97,1597,53,51,1,male,0,1
98,1598,29,12,0,male,1,1
99,1599,58,40,0,female,5,1
100,1600,4,53,0,female,2,0
101,1601,51,48,1,male,2,0
102,1602,76,8,1,female,3,0
103,1603,61,4,0,male,4,0
104,1604,50,1,1,male,5,0
105,1605,53,5,0,male,5,1
106,1606,78,40,0,male,1,1
107,1607,60,4,1,female,5,1
108,1608,86,35,0,male,2,1
109,1609,60,33,1,female,4,1
110,1610,18,51,0,female,5,0
111,1611,96,11,1,male,1,1
112,1612,96,37,0,female,1,1
113,1613,74,24,0,male,3,1
114,1614,77,35,0,male,4,0
115,1615,7,59,1,female,4,1
116,1616,67,47,0,male,2,0
117,1617,58,31,1,male,2,0
118,1618,24,32,1,male,2,0
119,1619,16,49,1,male,3,0
120,1620,34,40,1,male,0,0
121,1621,46,51,1,male,1,1
122,1622,70,5,0,female,5,1
123,1623,70,41,0,male,0,1
124,1624,97,37,0,female,3,1
125,1625,3,51,1,female,5,1
126,1626,59,42,0,male,1,1
127,1627,11,19,0,male,5,1
128,1628,93,3,1,female,5,1
129,1629,32,6,0,female,4,1
130,1630,46,9,1,male,0,1
131,1631,85,9,0,female,4,1
132,1632,53,42,1,male,1,1
133,1633,21,26,0,female,3,0
134,1634,4,25,1,female,4,1
135,1635,95,21,0,female,1,1
136,1636,84,23,0,female,4,1
137,1637,11,52,1,female,0,0
138,1638,61,30,0,male,5,1
139,1639,62,25,0,male,4,0
140,1640,3,59,0,male,1,0
141,1641,1,49,1,male,2,0
142,1642,41,18,0,male,3,0
143,1643,10,5,0,female,5,0
144,1644,6,60,1,male,4,1
145,1645,89,13,1,female,1,1
146,1646,22,19,0,female,0,1
147,1647,74,33,1,female,0,0
148,1648,8,32,0,female,4,0
149,1649,78,2,1,male,4,1
150,1650,43,56,0,female,0,1
151,1651,78,35,1,male,2,1
152,1652,85,40,1,male,1,1
153,1653,88,1,0,female,3,1
154,1654,16,14,0,female,3,0
155,1655,85,41,0,female,2,1
156,1656,60,14,0,male,4,0
157,1657,39,32,1,male,3,0
158,1658,68,4,1,male,2,1
159,1659,85,13,0,female,0,1
160,1660,59,29,0,male,2,1
161,1661,83,17,0,male,2,1
162,1662,48,19,1,male,5,0
163,1663,41,11,0,male,3,0
164,1664,85,29,0,female,1,1
165,1665,66,2,1,female,5,1
166,1666,79,16,0,male,4,1
167,1667,20,32,0,male,5,0
168,1668,83,45,0,male,3,1
169,1669,43,22,0,female,3,0
170,1670,91,28,1,male,0,1
171,1671,37,18,1,female,2,1
172,1672,61,55,1,male,3,1
173,1673,68,2,1,male,2,0
174,1674,13,50,1,female,2,0
175,1675,84,48,0,female,3,1
176,1676,13,38,0,female,1,0
177,1677,49,36,1,female,5,0
178,1678,52,7,0,male,3,1
179,1679,19,43,1,female,4,1
180,1680,42,20,1,male,1,1
181,1681,52,37,1,female,1,0
182,1682,15,13,0,male,3,0
183,1683,2,27,0,female,1,0
184,1684,20,55,0,male,4,0
185,1685,99,14,0,female,2,1
186,1686,5,4,1,male,4,0
187,1687,49,52,0,female,4,0
188,1688,36,36,0,female,0,1
189,1689,45,3,1,male,3,1
